ESI	|	OPERACION
ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI12	|	GET nofunciona ESI12	|	GET planificador:de:mierda ESI12	|	GET memory:leaks ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI12	|	GET nofunciona ESI12	|	GET planificador:de:mierda ESI12	|	GET memory:leaks ESI12	|	SET nofunciona nadaESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	SET nofunciona nadaESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	SET nofunciona nadaESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	SET nofunciona nadaESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	SET nofunciona nadaESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI12	|	GET nofunciona ESI12	|	GET planificador:de:mierda ESI12	|	GET memory:leaks ESI13	|	GET nofunciona ESI13	|	GET planificador:de:mierda ESI13	|	GET memory:leaks ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI12	|	GET nofunciona ESI12	|	GET planificador:de:mierda ESI12	|	GET memory:leaks ESI12	|	GET key1 ESI13	|	GET pruebebeba ESI13	|	GET soylomax ESI13	|	GET gana:croacia ESI13	|	GET aguante:las:rusas ESI13	|	GET te:pruebo:todos ESI13	|	GET barra:cero ESI13	|	GET key2 ESI13	|	GET key4 ESI14	|	GET key1 ESI12	|	GET key1 ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	GET key1 ESI12	|	GET pruebebeba ESI12	|	GET soylomax ESI12	|	GET gana:croacia ESI12	|	GET aguante:las:rusas ESI12	|	GET te:pruebo:todos ESI12	|	GET barra:cero ESI12	|	GET key2 ESI13	|	GET key1 ESI11	|	GET key1 ESI13	|	GET key1 ESI13	|	GET key2 ESI12	|	GET key2 ESI12	|	GET key4 ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	GET key1 ESI12	|	GET pruebebeba ESI12	|	GET soylomax ESI12	|	GET gana:croacia ESI12	|	GET aguante:las:rusas ESI12	|	GET te:pruebo:todos ESI12	|	GET barra:cero ESI12	|	GET key2 ESI13	|	GET key1 ESI12	|	GET key2 ESI12	|	GET key4 ESI11	|	GET key1 ESI13	|	GET key1 ESI13	|	GET key2 ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	GET key1 ESI12	|	GET pruebebeba ESI12	|	GET soylomax ESI12	|	GET gana:croacia ESI12	|	GET aguante:las:rusas ESI12	|	GET te:pruebo:todos ESI12	|	GET barra:cero ESI12	|	GET key2 ESI13	|	GET key1 ESI13	|	GET key1 ESI13	|	GET key2 ESI11	|	GET key1 ESI12	|	GET key2 ESI12	|	GET key4 ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	GET key1 ESI12	|	GET pruebebeba ESI12	|	GET soylomax ESI12	|	GET gana:croacia ESI12	|	GET aguante:las:rusas ESI12	|	GET te:pruebo:todos ESI12	|	GET barra:cero ESI12	|	GET key2 ESI13	|	GET key1 ESI11	|	GET key1 ESI12	|	GET key2 ESI12	|	GET key4 ESI13	|	GET key1 ESI13	|	GET key2 ESI11	|	GET nofunciona ESI11	|	GET planificador:de:mierda ESI11	|	GET memory:leaks ESI11	|	GET key1 ESI12	|	GET pruebebeba ESI12	|	GET soylomax ESI12	|	GET gana:croacia ESI12	|	GET aguante:las:rusas ESI12	|	GET te:pruebo:todos ESI12	|	GET barra:cero ESI12	|	GET key2 ESI13	|	GET key1 ESI11	|	GET key1 ESI13	|	GET key1 ESI13	|	GET key2 ESI12	|	GET key2 ESI12	|	GET key4 ESI14	|	GET nofunciona ESI14	|	GET planificador:de:mierda ESI14	|	GET memory:leaks ESI14	|	GET key1 ESI15	|	GET pruebebeba ESI15	|	GET soylomax ESI15	|	GET gana:croacia ESI15	|	GET aguante:las:rusas ESI15	|	GET te:pruebo:todos ESI15	|	GET barra:cero ESI15	|	GET key2 ESI15	|	GET key4 ESI16	|	GET key1 ESI16	|	GET key2 ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
ESI11	|	GET memory:leaks 
ESI11	|	GET key1 
ESI12	|	GET pruebebeba 
ESI12	|	GET soylomax 
ESI12	|	GET gana:croacia 
ESI12	|	GET aguante:las:rusas 
ESI12	|	GET te:pruebo:todos 
ESI12	|	GET barra:cero 
ESI12	|	GET key2 
ESI12	|	GET key4 
ESI13	|	GET key1 
ESI13	|	GET key2 
ESI14	|	GET nofunciona 
ESI14	|	GET planificador:de:mierda 
ESI14	|	GET memory:leaks 
ESI14	|	GET key1 
ESI14	|	SET nofunciona unachota
ESI15	|	GET nofunciona 
ESI15	|	GET planificador:de:mierda 
ESI15	|	GET memory:leaks 
ESI15	|	GET key1 
ESI15	|	SET nofunciona unachota
ESI11	|	GET nofunciona 
ESI11	|	GET planificador:de:mierda 
